(-8, -4, 16), [0, 0, 0], 3.16.am_cm_ajw 
(-8, 0, -16), [0, 0, 0], 3.16.ai_a_ey 
(-8, 0, 0), [0, 0, 0], 3.16.ai_q_a 
(-4, -4, 16), [0, 0, 0], 3.16.ai_bw_ahk 
(-8, 4, 16), [0, 0, 0], 3.16.ae_a_a 
(-4, 0, -16), [0, 0, 0], 3.16.ae_a_cm 
(-4, 0, 0), [0, 0, 0], 3.16.ae_q_a 
(0, -4, 16), [0, 0, 0], 3.16.ae_bg_aey 
(0, 0, -16), [0, 0, 0], 3.16.a_a_a 
(4, -4, 16), [0, 0, 0], 3.16.a_q_acm 
(0, 0, 0), [0, 0, 0], 3.16.a_q_a 
(-4, 4, 16), [0, 0, 0], 3.16.a_q_cm 
(4, 0, -16), [0, 0, 0], 3.16.e_a_acm 
(8, -4, 16), [0, 0, 0], 3.16.e_a_a 
(4, 0, 0), [0, 0, 0], 3.16.e_q_a 
(0, 4, 16), [0, 0, 0], 3.16.e_bg_ey 
(8, 0, -16), [0, 0, 0], 3.16.i_a_aey 
(8, 0, 0), [0, 0, 0], 3.16.i_q_a 
(4, 4, 16), [0, 0, 0], 3.16.i_bw_hk 
(8, 4, 16), [0, 0, 0], 3.16.m_cm_jw 
