(-8, 0, -38), [0, 0, 2], 3.19.ai_at_ls 
(-8, 0, -19), [0, 0, 1], 3.19.ai_a_fw 
(-7, 0, -38), [1, 0, 2], 3.19.ah_at_kg 
(-7, 0, -19), [1, 0, 1], 3.19.ah_a_fd 
(-7, 0, 0), [1, 0, 0], 3.19.ah_t_a 
(-7, 0, 19), [1, 0, 3], 3.19.ah_bm_afd 
(-6, 0, -38), [2, 0, 2], 3.19.ag_at_iu 
(-5, 0, -38), [3, 0, 2], 3.19.af_at_hi 
(-5, 0, -19), [3, 0, 1], 3.19.af_a_dr 
(-5, 0, 19), [3, 0, 3], 3.19.af_bm_adr 
(-3, 0, -38), [1, 0, 2], 3.19.ad_at_ek 
(-3, 0, -19), [1, 0, 1], 3.19.ad_a_cf 
(-3, 0, 19), [1, 0, 3], 3.19.ad_bm_acf 
(-1, 0, -38), [3, 0, 2], 3.19.ab_at_bm 
(-1, 0, -19), [3, 0, 1], 3.19.ab_a_t 
(-1, 0, 19), [3, 0, 3], 3.19.ab_bm_at 
(1, 0, -38), [1, 0, 2], 3.19.b_at_abm 
(1, 0, -19), [1, 0, 1], 3.19.b_a_at 
(1, 0, 19), [1, 0, 3], 3.19.b_bm_t 
(3, 0, -38), [3, 0, 2], 3.19.d_at_aek 
(3, 0, -19), [3, 0, 1], 3.19.d_a_acf 
(3, 0, 19), [3, 0, 3], 3.19.d_bm_cf 
(5, 0, -38), [1, 0, 2], 3.19.f_at_ahi 
(5, 0, -19), [1, 0, 1], 3.19.f_a_adr 
(5, 0, 19), [1, 0, 3], 3.19.f_bm_dr 
(6, 0, -38), [2, 0, 2], 3.19.g_at_aiu 
(7, 0, -38), [3, 0, 2], 3.19.h_at_akg 
(7, 0, -19), [3, 0, 1], 3.19.h_a_afd 
(7, 0, 0), [3, 0, 0], 3.19.h_t_a 
(7, 0, 19), [3, 0, 3], 3.19.h_bm_fd 
(8, 0, -38), [0, 0, 2], 3.19.i_at_als 
(8, 0, -19), [0, 0, 1], 3.19.i_a_afw 
