(0, -8, 33), [0, 3, 0], 3.11.ai_bs_agu 
(0, -7, 33), [0, 4, 0], 3.11.ah_bs_afy 
(-6, 0, 0), [5, 0, 0], 3.11.ag_l_a 
(-6, 0, 11), [5, 0, 0], 3.11.ag_w_aco 
(-4, 0, -22), [7, 0, 0], 3.11.ae_al_dk 
(-4, 0, -11), [7, 0, 0], 3.11.ae_a_bs 
(-4, 0, 0), [7, 0, 0], 3.11.ae_l_a 
(0, -4, 11), [0, 7, 0], 3.11.ae_w_adk 
(-4, 0, 11), [7, 0, 0], 3.11.ae_w_abs 
(0, -3, 0), [0, 8, 0], 3.11.ad_l_aco 
(-3, 0, 0), [8, 0, 0], 3.11.ad_l_a 
(0, -3, 11), [0, 8, 0], 3.11.ad_w_aco 
(-2, 0, -11), [9, 0, 0], 3.11.ac_a_w 
(0, -2, 0), [0, 9, 0], 3.11.ac_l_abs 
(-2, 0, 0), [9, 0, 0], 3.11.ac_l_a 
(0, -2, 11), [0, 9, 0], 3.11.ac_w_abs 
(-2, 0, 11), [9, 0, 0], 3.11.ac_w_aw 
(0, -1, -11), [0, 10, 0], 3.11.ab_a_aw 
(0, -1, 0), [0, 10, 0], 3.11.ab_l_aw 
(-1, 0, 0), [10, 0, 0], 3.11.ab_l_a 
(0, -1, 11), [0, 10, 0], 3.11.ab_w_aw 
(0, 1, -11), [0, 1, 0], 3.11.b_a_w 
(1, 0, 0), [1, 0, 0], 3.11.b_l_a 
(0, 1, 0), [0, 1, 0], 3.11.b_l_w 
(0, 1, 11), [0, 1, 0], 3.11.b_w_w 
(2, 0, -11), [2, 0, 0], 3.11.c_a_aw 
(2, 0, 0), [2, 0, 0], 3.11.c_l_a 
(0, 2, 0), [0, 2, 0], 3.11.c_l_bs 
(2, 0, 11), [2, 0, 0], 3.11.c_w_w 
(0, 2, 11), [0, 2, 0], 3.11.c_w_bs 
(3, 0, 0), [3, 0, 0], 3.11.d_l_a 
(0, 3, 0), [0, 3, 0], 3.11.d_l_co 
(0, 3, 11), [0, 3, 0], 3.11.d_w_co 
(4, 0, -22), [4, 0, 0], 3.11.e_al_adk 
(4, 0, -11), [4, 0, 0], 3.11.e_a_abs 
(4, 0, 0), [4, 0, 0], 3.11.e_l_a 
(4, 0, 11), [4, 0, 0], 3.11.e_w_bs 
(0, 4, 11), [0, 4, 0], 3.11.e_w_dk 
(6, 0, 0), [6, 0, 0], 3.11.g_l_a 
(6, 0, 11), [6, 0, 0], 3.11.g_w_co 
(0, 7, 33), [0, 7, 0], 3.11.h_bs_fy 
(0, 8, 33), [0, 8, 0], 3.11.i_bs_gu 
