(-6, -5, 3), [3, 4, 3], 3.9.ai_y_acc 
(-6, -4, 3), [3, 5, 3], 3.9.ah_v_acc 
(-6, -2, 3), [3, 7, 3], 3.9.af_p_acc 
(-5, 0, 0), [4, 0, 0], 3.9.af_bb_adm 
(-6, -1, 3), [3, 8, 3], 3.9.ae_m_acc 
(-3, -3, 2), [6, 6, 2], 3.9.ae_y_acc 
(-4, 0, 0), [5, 0, 0], 3.9.ae_bb_acu 
(-5, -3, 6), [4, 6, 6], 3.9.ac_ag_cc 
(-6, 1, 3), [3, 1, 3], 3.9.ac_g_acc 
(-3, -3, 4), [6, 6, 4], 3.9.ac_m_a 
(-2, 0, 0), [7, 0, 0], 3.9.ac_bb_abk 
(-6, 3, 5), [3, 3, 5], 3.9.c_ag_acc 
(-3, -1, 6), [6, 8, 6], 3.9.c_g_cc 
(-4, 3, 3), [5, 3, 3], 3.9.c_m_a 
(0, 0, 2), [0, 0, 2], 3.9.c_bb_bk 
(-3, 1, 6), [6, 1, 6], 3.9.e_m_cc 
(-2, 3, 3), [7, 3, 3], 3.9.e_y_cc 
(0, 0, 4), [0, 0, 4], 3.9.e_bb_cu 
(-3, 2, 6), [6, 2, 6], 3.9.f_p_cc 
(0, 0, 5), [0, 0, 5], 3.9.f_bb_dm 
(-3, 4, 6), [6, 4, 6], 3.9.h_v_cc 
(-3, 5, 6), [6, 5, 6], 3.9.i_y_cc 
