(-7, -13, 73), [9, 3, 9], 3.16.au_gy_abjr 
(-7, -12, 65), [9, 4, 1], 3.16.at_gj_abgh 
(-7, -11, 57), [9, 5, 9], 3.16.as_fu_abcx 
(-7, -11, 59), [9, 5, 11], 3.16.as_fw_abdl 
(-5, -13, 73), [11, 3, 9], 3.16.as_fy_abeb 
(-7, -11, 61), [9, 5, 13], 3.16.as_fy_abdz 
(-5, -12, 65), [11, 4, 1], 3.16.ar_fl_abbh 
(-7, -10, 55), [9, 6, 7], 3.16.ar_fl_abbd 
(-7, -9, 41), [9, 7, 9], 3.16.aq_eq_awd 
(-7, -9, 43), [9, 7, 11], 3.16.aq_es_awr 
(-7, -9, 45), [9, 7, 13], 3.16.aq_eu_axf 
(-7, -9, 47), [9, 7, 15], 3.16.aq_ew_axt 
(-5, -11, 57), [11, 5, 9], 3.16.aq_ey_ayn 
(-3, -13, 73), [13, 3, 9], 3.16.aq_ey_ayl 
(-5, -11, 59), [11, 5, 11], 3.16.aq_fa_ayx 
(-7, -9, 51), [9, 7, 3], 3.16.aq_fa_ayv 
(-5, -11, 61), [11, 5, 13], 3.16.aq_fc_azh 
(-7, -8, 33), [9, 8, 1], 3.16.ap_eb_ast 
(-7, -8, 35), [9, 8, 3], 3.16.ap_ed_ath 
(-7, -8, 37), [9, 8, 5], 3.16.ap_ef_atv 
(-7, -8, 41), [9, 8, 9], 3.16.ap_ej_aux 
(-5, -10, 55), [11, 6, 7], 3.16.ap_er_awx 
(-7, -7, 25), [9, 9, 9], 3.16.ao_dm_apj 
(-7, -7, 29), [9, 9, 13], 3.16.ao_dq_aql 
(-7, -7, 31), [9, 9, 15], 3.16.ao_ds_aqz 
(-7, -7, 33), [9, 9, 1], 3.16.ao_du_arn 
(-7, -7, 39), [9, 9, 7], 3.16.ao_ea_atd 
(-3, -11, 57), [13, 5, 9], 3.16.ao_ec_aud 
(-7, -7, 41), [9, 9, 9], 3.16.ao_ec_atr 
(-3, -11, 59), [13, 5, 11], 3.16.ao_ee_auj 
(-7, -7, 43), [9, 9, 11], 3.16.ao_ee_auf 
(-5, -9, 47), [11, 7, 15], 3.16.ao_ee_aud 
(-5, -9, 51), [11, 7, 3], 3.16.ao_ei_aux 
(-7, -5, 11), [9, 11, 11], 3.16.am_ck_ajd 
(-7, -5, 17), [9, 11, 1], 3.16.am_cq_akt 
(-7, -5, 19), [9, 11, 3], 3.16.am_cs_alh 
(-7, -5, 21), [9, 11, 5], 3.16.am_cu_alv 
(-7, -5, 23), [9, 11, 7], 3.16.am_cw_amj 
(-5, -7, 33), [11, 9, 1], 3.16.am_dg_aoz 
(-1, -11, 59), [15, 5, 11], 3.16.am_di_apv 
(-3, -9, 49), [13, 7, 1], 3.16.am_do_aqt 
(-5, -7, 41), [11, 9, 9], 3.16.am_do_aqn 
(-3, -9, 51), [13, 7, 3], 3.16.am_dq_aqz 
(-5, -7, 43), [11, 9, 11], 3.16.am_dq_aqx 
(-7, -4, 13), [9, 12, 13], 3.16.al_cf_ail 
(-7, -3, -1), [9, 13, 15], 3.16.ak_bk_adl 
(-7, -3, 1), [9, 13, 1], 3.16.ak_bm_adz 
(-7, -3, 3), [9, 13, 3], 3.16.ak_bo_aen 
(-7, -3, 5), [9, 13, 5], 3.16.ak_bq_afb 
(-1, -9, 41), [15, 7, 9], 3.16.ak_co_amr 
(-3, -7, 33), [13, 9, 1], 3.16.ak_cs_aml 
(-5, -5, 31), [11, 11, 15], 3.16.ak_cu_amd 
(-5, -5, 33), [11, 11, 1], 3.16.ak_cw_amn 
(-3, -7, 43), [13, 9, 11], 3.16.ak_dc_anp 
(-7, -1, -23), [9, 15, 9], 3.16.ai_a_ez 
(-7, -1, -13), [9, 15, 3], 3.16.ai_k_ch 
(-7, -1, -11), [9, 15, 5], 3.16.ai_m_bt 
(-7, -1, -9), [9, 15, 7], 3.16.ai_o_bf 
(-5, -3, 21), [11, 13, 5], 3.16.ai_ca_aht 
(-5, -3, 23), [11, 13, 7], 3.16.ai_cc_aid 
(-1, -7, 35), [15, 9, 3], 3.16.ai_cg_ajz 
(-1, -7, 37), [15, 9, 5], 3.16.ai_ci_akb 
(-1, -7, 39), [15, 9, 7], 3.16.ai_ck_akd 
(-3, -5, 31), [13, 11, 15], 3.16.ai_ck_ajt 
(-1, -7, 41), [15, 9, 9], 3.16.ai_cm_akf 
(-3, -5, 37), [13, 11, 5], 3.16.ai_cq_akl 
(-7, 0, -31), [9, 0, 1], 3.16.ah_ap_ij 
(-7, 0, -19), [9, 0, 13], 3.16.ah_ad_fd 
(-7, 1, -23), [9, 1, 9], 3.16.ag_ao_hl 
(-5, -1, 11), [11, 15, 11], 3.16.ag_bg_adj 
(1, -7, 25), [1, 9, 9], 3.16.ag_bi_ahr 
(-5, -1, 13), [11, 15, 13], 3.16.ag_bi_adt 
(-5, -1, 15), [11, 15, 15], 3.16.ag_bk_aed 
(1, -7, 35), [1, 9, 3], 3.16.ag_bs_ahh 
(-1, -5, 33), [15, 11, 1], 3.16.ag_cc_ahl 
(-3, -3, 29), [13, 13, 13], 3.16.ag_cc_ahb 
(-1, -5, 35), [15, 11, 3], 3.16.ag_ce_ahn 
(-3, -3, 31), [13, 13, 15], 3.16.ag_ce_ahh 
(-1, -5, 37), [15, 11, 5], 3.16.ag_cg_ahp 
(-3, -3, 33), [13, 13, 1], 3.16.ag_cg_ahn 
(-5, 0, -31), [11, 0, 1], 3.16.af_ap_fz 
(-1, -4, 33), [15, 12, 1], 3.16.af_cb_agf 
(-7, 3, -7), [9, 3, 9], 3.16.ae_am_fp 
(-5, 1, 1), [11, 1, 1], 3.16.ae_m_bb 
(-5, 1, 3), [11, 1, 3], 3.16.ae_o_r 
(1, -5, 25), [1, 11, 9], 3.16.ae_bk_aff 
(1, -5, 27), [1, 11, 11], 3.16.ae_bm_afd 
(-3, -1, 25), [13, 15, 9], 3.16.ae_bs_aed 
(-3, -1, 27), [13, 15, 11], 3.16.ae_bu_aej 
(-1, -3, 33), [15, 13, 1], 3.16.ae_ca_aez 
(-3, 0, -31), [13, 0, 1], 3.16.ad_ap_dp 
(-5, 2, -5), [11, 2, 11], 3.16.ad_b_dl 
